Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","8 of 1070"

,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2000","Massachusetts Institute of Technology","Nuclear engineering","First Time Students","Total for selected values","24",
"2000","Massachusetts Institute of Technology","Nuclear engineering","First Time Students","Female","8",
"2000","Massachusetts Institute of Technology","Nuclear engineering","First Time Students","Male","16",
"2000","Massachusetts Institute of Technology","Nuclear engineering","Returning Students","Total for selected values","93",
"2000","Massachusetts Institute of Technology","Nuclear engineering","Returning Students","Female","19",
"2000","Massachusetts Institute of Technology","Nuclear engineering","Returning Students","Male","74",
"2000","Massachusetts Institute of Technology","Other health not elsewhere classified","Total for selected values","Total for selected values","298",
"2000","Massachusetts Institute of Technology","Other health not elsewhere classified","First Time Students","Total for selected values","67",
"2000","Massachusetts Institute of Technology","Other health not elsewhere classified","First Time Students","Female","17",
"2000","Massachusetts Institute of Technology","Other health not elsewhere classified","First Time Students","Male","50",
"2000","Massachusetts Institute of Technology","Other health not elsewhere classified","Returning Students","Total for selected values","231",
"2000","Massachusetts Institute of Technology","Other health not elsewhere classified","Returning Students","Female","63",
"2000","Massachusetts Institute of Technology","Other health not elsewhere classified","Returning Students","Male","168",
"2000","Massachusetts Institute of Technology","Physics","Total for selected values","Total for selected values","245",
"2000","Massachusetts Institute of Technology","Physics","First Time Students","Total for selected values","47",
"2000","Massachusetts Institute of Technology","Physics","First Time Students","Female","3",
"2000","Massachusetts Institute of Technology","Physics","First Time Students","Male","44",
"2000","Massachusetts Institute of Technology","Physics","Returning Students","Total for selected values","198",
"2000","Massachusetts Institute of Technology","Physics","Returning Students","Female","21",
"2000","Massachusetts Institute of Technology","Physics","Returning Students","Male","177",
"2000","Massachusetts Institute of Technology","Political science and government","Total for selected values","Total for selected values","92",
"2000","Massachusetts Institute of Technology","Political science and government","First Time Students","Total for selected values","19",
"2000","Massachusetts Institute of Technology","Political science and government","First Time Students","Female","5",
"2000","Massachusetts Institute of Technology","Political science and government","First Time Students","Male","14",
"2000","Massachusetts Institute of Technology","Political science and government","Returning Students","Total for selected values","73",
"2000","Massachusetts Institute of Technology","Political science and government","Returning Students","Female","27",
"2000","Massachusetts Institute of Technology","Political science and government","Returning Students","Male","46",
"2000","Massachusetts Institute of Technology","Psychology, general","Total for selected values","Total for selected values","58",
"2000","Massachusetts Institute of Technology","Psychology, general","First Time Students","Total for selected values","20",
"2000","Massachusetts Institute of Technology","Psychology, general","First Time Students","Female","5",
"2000","Massachusetts Institute of Technology","Psychology, general","First Time Students","Male","15",
"2000","Massachusetts Institute of Technology","Psychology, general","Returning Students","Total for selected values","38",
"2000","Massachusetts Institute of Technology","Psychology, general","Returning Students","Female","13",
"2000","Massachusetts Institute of Technology","Psychology, general","Returning Students","Male","25",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","Total for selected values","Total for selected values","312",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","First Time Students","Total for selected values","110",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","First Time Students","Female","48",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","First Time Students","Male","62",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","Not collected","Total for selected values","23",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","Not collected","Female","14",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","Not collected","Male","9",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","Returning Students","Total for selected values","179",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","Returning Students","Female","65",
"2000","Massachusetts Institute of Technology","Social sciences not elsewhere classified","Returning Students","Male","114",
"2000","Massachusetts Institute of Technology","Sociology and anthropology","Total for selected values","Total for selected values","21",
"2000","Massachusetts Institute of Technology","Sociology and anthropology","First Time Students","Total for selected values","4",
"2000","Massachusetts Institute of Technology","Sociology and anthropology","First Time Students","Female","2",
"2000","Massachusetts Institute of Technology","Sociology and anthropology","First Time Students","Male","2",
"2000","Massachusetts Institute of Technology","Sociology and anthropology","Returning Students","Total for selected values","17",
"2000","Massachusetts Institute of Technology","Sociology and anthropology","Returning Students","Female","6",
"2000","Massachusetts Institute of Technology","Sociology and anthropology","Returning Students","Male","11",
"2000","Princeton University","Total for selected values","Total for selected values","Total for selected values","1,427",
"2000","Princeton University","Anthropology","Total for selected values","Total for selected values","24",
"2000","Princeton University","Anthropology","First Time Students","Total for selected values","3",
"2000","Princeton University","Anthropology","First Time Students","Female","1",
"2000","Princeton University","Anthropology","First Time Students","Male","2",
"2000","Princeton University","Anthropology","Returning Students","Total for selected values","21",
"2000","Princeton University","Anthropology","Returning Students","Female","10",
"2000","Princeton University","Anthropology","Returning Students","Male","11",
"2000","Princeton University","Astronomy and astrophysics","Total for selected values","Total for selected values","39",
"2000","Princeton University","Astronomy and astrophysics","First Time Students","Total for selected values","9",
"2000","Princeton University","Astronomy and astrophysics","First Time Students","Female","2",
"2000","Princeton University","Astronomy and astrophysics","First Time Students","Male","7",
"2000","Princeton University","Astronomy and astrophysics","Returning Students","Total for selected values","30",
"2000","Princeton University","Astronomy and astrophysics","Returning Students","Female","9",
"2000","Princeton University","Astronomy and astrophysics","Returning Students","Male","21",
"2000","Princeton University","Biology","Total for selected values","Total for selected values","32",
"2000","Princeton University","Biology","First Time Students","Total for selected values","6",
"2000","Princeton University","Biology","First Time Students","Female","3",
"2000","Princeton University","Biology","First Time Students","Male","3",
"2000","Princeton University","Biology","Returning Students","Total for selected values","26",
"2000","Princeton University","Biology","Returning Students","Female","14",
"2000","Princeton University","Biology","Returning Students","Male","12",
"2000","Princeton University","Cell and molecular biology","Total for selected values","Total for selected values","93",
"2000","Princeton University","Cell and molecular biology","First Time Students","Total for selected values","20",
"2000","Princeton University","Cell and molecular biology","First Time Students","Female","11",
"2000","Princeton University","Cell and molecular biology","First Time Students","Male","9",
"2000","Princeton University","Cell and molecular biology","Returning Students","Total for selected values","73",
"2000","Princeton University","Cell and molecular biology","Returning Students","Female","41",
"2000","Princeton University","Cell and molecular biology","Returning Students","Male","32",
"2000","Princeton University","Chemical engineering","Total for selected values","Total for selected values","68",
"2000","Princeton University","Chemical engineering","First Time Students","Total for selected values","16",
"2000","Princeton University","Chemical engineering","First Time Students","Female","3",
"2000","Princeton University","Chemical engineering","First Time Students","Male","13",
"2000","Princeton University","Chemical engineering","Not collected","Total for selected values","3",
"2000","Princeton University","Chemical engineering","Not collected","Female","1",
"2000","Princeton University","Chemical engineering","Not collected","Male","2",
"2000","Princeton University","Chemical engineering","Returning Students","Total for selected values","49",
"2000","Princeton University","Chemical engineering","Returning Students","Female","18",
"2000","Princeton University","Chemical engineering","Returning Students","Male","31",
"2000","Princeton University","Chemistry","Total for selected values","Total for selected values","120",
"2000","Princeton University","Chemistry","First Time Students","Total for selected values","33",
"2000","Princeton University","Chemistry","First Time Students","Female","11",
"2000","Princeton University","Chemistry","First Time Students","Male","22",
"2000","Princeton University","Chemistry","Returning Students","Total for selected values","87",
"2000","Princeton University","Chemistry","Returning Students","Female","31",
"2000","Princeton University","Chemistry","Returning Students","Male","56",
"2000","Princeton University","Civil engineering","Total for selected values","Total for selected values","146",
"2000","Princeton University","Civil engineering","First Time Students","Total for selected values","70",
"2000","Princeton University","Civil engineering","First Time Students","Female","27",
"2000","Princeton University","Civil engineering","First Time Students","Male","43",
"2000","Princeton University","Civil engineering","Not collected","Total for selected values","2",
"2000","Princeton University","Civil engineering","Not collected","Male","2",
"2000","Princeton University","Civil engineering","Returning Students","Total for selected values","74",
"2000","Princeton University","Civil engineering","Returning Students","Female","36",
"2000","Princeton University","Civil engineering","Returning Students","Male","38",
"2000","Princeton University","Computer sciences","Total for selected values","Total for selected values","83",
"2000","Princeton University","Computer sciences","First Time Students","Total for selected values","25",
"2000","Princeton University","Computer sciences","First Time Students","Female","3",
"2000","Princeton University","Computer sciences","First Time Students","Male","22",
"2000","Princeton University","Computer sciences","Returning Students","Total for selected values","58",
"2000","Princeton University","Computer sciences","Returning Students","Female","14",
"2000","Princeton University","Computer sciences","Returning Students","Male","44",
"2000","Princeton University","Economics (except agricultural)","Total for selected values","Total for selected values","83",
"2000","Princeton University","Economics (except agricultural)","First Time Students","Total for selected values","31",
"2000","Princeton University","Economics (except agricultural)","First Time Students","Female","5",
"2000","Princeton University","Economics (except agricultural)","First Time Students","Male","26",
"2000","Princeton University","Economics (except agricultural)","Returning Students","Total for selected values","52",
"2000","Princeton University","Economics (except agricultural)","Returning Students","Female","13",
"2000","Princeton University","Economics (except agricultural)","Returning Students","Male","39",
"2000","Princeton University","Electrical engineering","Total for selected values","Total for selected values","171",
"2000","Princeton University","Electrical engineering","First Time Students","Total for selected values","48",
"2000","Princeton University","Electrical engineering","First Time Students","Female","4",
"2000","Princeton University","Electrical engineering","First Time Students","Male","44",
"2000","Princeton University","Electrical engineering","Not collected","Total for selected values","1",
"2000","Princeton University","Electrical engineering","Not collected","Male","1",
"2000","Princeton University","Electrical engineering","Returning Students","Total for selected values","122",
"2000","Princeton University","Electrical engineering","Returning Students","Female","23",
"2000","Princeton University","Electrical engineering","Returning Students","Male","99",
"2000","Princeton University","Geosciences","Total for selected values","Total for selected values","28",
"2000","Princeton University","Geosciences","First Time Students","Total for selected values","4",
"2000","Princeton University","Geosciences","First Time Students","Female","2",
"2000","Princeton University","Geosciences","First Time Students","Male","2",
"2000","Princeton University","Geosciences","Returning Students","Total for selected values","24",
"2000","Princeton University","Geosciences","Returning Students","Female","10",
"2000","Princeton University","Geosciences","Returning Students","Male","14",
"2000","Princeton University","History and philosophy of science","Total for selected values","Total for selected values","17",
"2000","Princeton University","History and philosophy of science","First Time Students","Total for selected values","4",
"2000","Princeton University","History and philosophy of science","First Time Students","Female","2",
"2000","Princeton University","History and philosophy of science","First Time Students","Male","2",
"2000","Princeton University","History and philosophy of science","Returning Students","Total for selected values","13",
"2000","Princeton University","History and philosophy of science","Returning Students","Female","6",
"2000","Princeton University","History and philosophy of science","Returning Students","Male","7",
"2000","Princeton University","Mathematics and applied mathematics","Total for selected values","Total for selected values","77",
"2000","Princeton University","Mathematics and applied mathematics","First Time Students","Total for selected values","13",
"2000","Princeton University","Mathematics and applied mathematics","First Time Students","Female","3",
"2000","Princeton University","Mathematics and applied mathematics","First Time Students","Male","10",
"2000","Princeton University","Mathematics and applied mathematics","Returning Students","Total for selected values","64",
"2000","Princeton University","Mathematics and applied mathematics","Returning Students","Female","10",
"2000","Princeton University","Mathematics and applied mathematics","Returning Students","Male","54",
"2000","Princeton University","Mechanical engineering","Total for selected values","Total for selected values","69",
"2000","Princeton University","Mechanical engineering","First Time Students","Total for selected values","18",
"2000","Princeton University","Mechanical engineering","First Time Students","Female","5",
"2000","Princeton University","Mechanical engineering","First Time Students","Male","13",
"2000","Princeton University","Mechanical engineering","Returning Students","Total for selected values","51",
"2000","Princeton University","Mechanical engineering","Returning Students","Female","7",
"2000","Princeton University","Mechanical engineering","Returning Students","Male","44",
"2000","Princeton University","Physics","Total for selected values","Total for selected values","89",
"2000","Princeton University","Physics","Returning Students","Total for selected values","89",
"2000","Princeton University","Physics","Returning Students","Female","8",
"2000","Princeton University","Physics","Returning Students","Male","81",
"2000","Princeton University","Political science and government","Total for selected values","Total for selected values","220",
"2000","Princeton University","Political science and government","First Time Students","Total for selected values","106",
"2000","Princeton University","Political science and government","First Time Students","Female","54",
"2000","Princeton University","Political science and government","First Time Students","Male","52",
"2000","Princeton University","Political science and government","Returning Students","Total for selected values","114",
"2000","Princeton University","Political science and government","Returning Students","Female","55",
"2000","Princeton University","Political science and government","Returning Students","Male","59",
"2000","Princeton University","Psychology, general","Total for selected values","Total for selected values","31",
"2000","Princeton University","Psychology, general","First Time Students","Total for selected values","8",
"2000","Princeton University","Psychology, general","First Time Students","Female","3",
"2000","Princeton University","Psychology, general","First Time Students","Male","5",
"2000","Princeton University","Psychology, general","Returning Students","Total for selected values","23",
"2000","Princeton University","Psychology, general","Returning Students","Female","8",
"2000","Princeton University","Psychology, general","Returning Students","Male","15",
"2000","Princeton University","Sociology","Total for selected values","Total for selected values","37",
"2000","Princeton University","Sociology","First Time Students","Total for selected values","6",
"2000","Princeton University","Sociology","First Time Students","Female","3",
"2000","Princeton University","Sociology","First Time Students","Male","3",
"2000","Princeton University","Sociology","Returning Students","Total for selected values","31",
"2000","Princeton University","Sociology","Returning Students","Female","24",
"2000","Princeton University","Sociology","Returning Students","Male","7",
"2000","Stanford University","Total for selected values","Total for selected values","Total for selected values","4,735",
"2000","Stanford University","Aerospace engineering","Total for selected values","Total for selected values","219",
"2000","Stanford University","Aerospace engineering","First Time Students","Total for selected values","58",
"2000","Stanford University","Aerospace engineering","First Time Students","Female","12",
"2000","Stanford University","Aerospace engineering","First Time Students","Male","46",
"2000","Stanford University","Aerospace engineering","Not collected","Total for selected values","11",
"2000","Stanford University","Aerospace engineering","Not collected","Female","3",
"2000","Stanford University","Aerospace engineering","Not collected","Male","8",
"2000","Stanford University","Aerospace engineering","Returning Students","Total for selected values","150",
"2000","Stanford University","Aerospace engineering","Returning Students","Female","19",
"2000","Stanford University","Aerospace engineering","Returning Students","Male","131",
"2000","Stanford University","Anthropology","Total for selected values","Total for selected values","83",
"2000","Stanford University","Anthropology","First Time Students","Total for selected values","12",
"2000","Stanford University","Anthropology","First Time Students","Female","7",
"2000","Stanford University","Anthropology","First Time Students","Male","5",
"2000","Stanford University","Anthropology","Not collected","Total for selected values","40",
"2000","Stanford University","Anthropology","Not collected","Female","29",
"2000","Stanford University","Anthropology","Not collected","Male","11",
"2000","Stanford University","Anthropology","Returning Students","Total for selected values","31",
"2000","Stanford University","Anthropology","Returning Students","Female","21",
"2000","Stanford University","Anthropology","Returning Students","Male","10",
"2000","Stanford University","Biochemistry","Total for selected values","Total for selected values","33",
"2000","Stanford University","Biochemistry","First Time Students","Total for selected values","10",
"2000","Stanford University","Biochemistry","First Time Students","Female","5",
"2000","Stanford University","Biochemistry","First Time Students","Male","5",
"2000","Stanford University","Biochemistry","Returning Students","Total for selected values","23",
"2000","Stanford University","Biochemistry","Returning Students","Female","9",
"2000","Stanford University","Biochemistry","Returning Students","Male","14",
"2000","Stanford University","Biology","Total for selected values","Total for selected values","121",
"2000","Stanford University","Biology","First Time Students","Total for selected values","27",
"2000","Stanford University","Biology","First Time Students","Female","19",
"2000","Stanford University","Biology","First Time Students","Male","8",
"2000","Stanford University","Biology","Returning Students","Total for selected values","94",
"2000","Stanford University","Biology","Returning Students","Female","47",
"2000","Stanford University","Biology","Returning Students","Male","47",
"2000","Stanford University","Biometry and epidemiology","Total for selected values","Total for selected values","32",
"2000","Stanford University","Biometry and epidemiology","First Time Students","Total for selected values","14",
"2000","Stanford University","Biometry and epidemiology","First Time Students","Female","12",
"2000","Stanford University","Biometry and epidemiology","First Time Students","Male","2",
"2000","Stanford University","Biometry and epidemiology","Returning Students","Total for selected values","18",
"2000","Stanford University","Biometry and epidemiology","Returning Students","Female","16",
"2000","Stanford University","Biometry and epidemiology","Returning Students","Male","2",
"2000","Stanford University","Biophysics","Total for selected values","Total for selected values","28",
"2000","Stanford University","Biophysics","Returning Students","Total for selected values","28",
"2000","Stanford University","Biophysics","Returning Students","Female","11",
"2000","Stanford University","Biophysics","Returning Students","Male","17",
"2000","Stanford University","Cell and molecular biology","Total for selected values","Total for selected values","31",
"2000","Stanford University","Cell and molecular biology","First Time Students","Total for selected values","5",
"2000","Stanford University","Cell and molecular biology","First Time Students","Female","3",
"2000","Stanford University","Cell and molecular biology","First Time Students","Male","2",
"2000","Stanford University","Cell and molecular biology","Returning Students","Total for selected values","26",
"2000","Stanford University","Cell and molecular biology","Returning Students","Female","11",
"2000","Stanford University","Cell and molecular biology","Returning Students","Male","15",
"2000","Stanford University","Chemical engineering","Total for selected values","Total for selected values","105",
"2000","Stanford University","Chemical engineering","First Time Students","Total for selected values","23",
"2000","Stanford University","Chemical engineering","First Time Students","Female","10",
"2000","Stanford University","Chemical engineering","First Time Students","Male","13",
"2000","Stanford University","Chemical engineering","Not collected","Total for selected values","1",
"2000","Stanford University","Chemical engineering","Not collected","Male","1",
"2000","Stanford University","Chemical engineering","Returning Students","Total for selected values","81",
"2000","Stanford University","Chemical engineering","Returning Students","Female","22",
"2000","Stanford University","Chemical engineering","Returning Students","Male","59",
"2000","Stanford University","Chemistry","Total for selected values","Total for selected values","186",
"2000","Stanford University","Chemistry","First Time Students","Total for selected values","29",
"2000","Stanford University","Chemistry","First Time Students","Female","7",
"2000","Stanford University","Chemistry","First Time Students","Male","22",
"2000","Stanford University","Chemistry","Returning Students","Total for selected values","157",
"2000","Stanford University","Chemistry","Returning Students","Female","45",
"2000","Stanford University","Chemistry","Returning Students","Male","112",
"2000","Stanford University","Civil engineering","Total for selected values","Total for selected values","259",
"2000","Stanford University","Civil engineering","First Time Students","Total for selected values","94",
"2000","Stanford University","Civil engineering","First Time Students","Female","37",
"2000","Stanford University","Civil engineering","First Time Students","Male","57",
"2000","Stanford University","Civil engineering","Not collected","Total for selected values","4",
"2000","Stanford University","Civil engineering","Not collected","Male","4",
"2000","Stanford University","Civil engineering","Returning Students","Total for selected values","161",
"2000","Stanford University","Civil engineering","Returning Students","Female","67",
"2000","Stanford University","Civil engineering","Returning Students","Male","94",
"2000","Stanford University","Clinical medicine not elsewhere classified","Total for selected values","Total for selected values","31",
"2000","Stanford University","Clinical medicine not elsewhere classified","First Time Students","Total for selected values","4",
"2000","Stanford University","Clinical medicine not elsewhere classified","First Time Students","Female","1",
"2000","Stanford University","Clinical medicine not elsewhere classified","First Time Students","Male","3",
"2000","Stanford University","Clinical medicine not elsewhere classified","Returning Students","Total for selected values","27",
"2000","Stanford University","Clinical medicine not elsewhere classified","Returning Students","Female","5",
"2000","Stanford University","Clinical medicine not elsewhere classified","Returning Students","Male","22",
"2000","Stanford University","Computer sciences","Total for selected values","Total for selected values","489",
"2000","Stanford University","Computer sciences","First Time Students","Total for selected values","116",
"2000","Stanford University","Computer sciences","First Time Students","Female","14",
"2000","Stanford University","Computer sciences","First Time Students","Male","102",
"2000","Stanford University","Computer sciences","Not collected","Total for selected values","62",
"2000","Stanford University","Computer sciences","Not collected","Female","13",
"2000","Stanford University","Computer sciences","Not collected","Male","49",
"2000","Stanford University","Computer sciences","Returning Students","Total for selected values","311",
"2000","Stanford University","Computer sciences","Returning Students","Female","74",
"2000","Stanford University","Computer sciences","Returning Students","Male","237",
"2000","Stanford University","Economics (except agricultural)","Total for selected values","Total for selected values","137",
"2000","Stanford University","Economics (except agricultural)","First Time Students","Total for selected values","19",
"2000","Stanford University","Economics (except agricultural)","First Time Students","Female","9",
"2000","Stanford University","Economics (except agricultural)","First Time Students","Male","10",
"2000","Stanford University","Economics (except agricultural)","Returning Students","Total for selected values","118",
"2000","Stanford University","Economics (except agricultural)","Returning Students","Female","36",
"2000","Stanford University","Economics (except agricultural)","Returning Students","Male","82",
"2000","Stanford University","Electrical engineering","Total for selected values","Total for selected values","847",
"2000","Stanford University","Electrical engineering","First Time Students","Total for selected values","229",
"2000","Stanford University","Electrical engineering","First Time Students","Female","27",
"2000","Stanford University","Electrical engineering","First Time Students","Male","202",
"2000","Stanford University","Electrical engineering","Not collected","Total for selected values","105",
"2000","Stanford University","Electrical engineering","Not collected","Female","13",
"2000","Stanford University","Electrical engineering","Not collected","Male","92",
"2000","Stanford University","Electrical engineering","Returning Students","Total for selected values","513",
"2000","Stanford University","Electrical engineering","Returning Students","Female","84",
"2000","Stanford University","Electrical engineering","Returning Students","Male","429",
"2000","Stanford University","Engineering not elsewhere classified","Total for selected values","Total for selected values","105",
"2000","Stanford University","Engineering not elsewhere classified","First Time Students","Total for selected values","23",
"2000","Stanford University","Engineering not elsewhere classified","First Time Students","Female","5",
"2000","Stanford University","Engineering not elsewhere classified","First Time Students","Male","18",
"2000","Stanford University","Engineering not elsewhere classified","Not collected","Total for selected values","4",
"2000","Stanford University","Engineering not elsewhere classified","Not collected","Female","2",
"2000","Stanford University","Engineering not elsewhere classified","Not collected","Male","2",
"2000","Stanford University","Engineering not elsewhere classified","Returning Students","Total for selected values","78",
"2000","Stanford University","Engineering not elsewhere classified","Returning Students","Female","18",
"2000","Stanford University","Engineering not elsewhere classified","Returning Students","Male","60",
"2000","Stanford University","Engineering science, mechanics, and physics","Total for selected values","Total for selected values","109",
"2000","Stanford University","Engineering science, mechanics, and physics","First Time Students","Total for selected values","21",
"2000","Stanford University","Engineering science, mechanics, and physics","First Time Students","Female","4",
"2000","Stanford University","Engineering science, mechanics, and physics","First Time Students","Male","17",
"2000","Stanford University","Engineering science, mechanics, and physics","Not collected","Total for selected values","1",
"2000","Stanford University","Engineering science, mechanics, and physics","Not collected","Male","1",
"2000","Stanford University","Engineering science, mechanics, and physics","Returning Students","Total for selected values","87",
"2000","Stanford University","Engineering science, mechanics, and physics","Returning Students","Female","13",
"2000","Stanford University","Engineering science, mechanics, and physics","Returning Students","Male","74",
"2000","Stanford University","Genetics","Total for selected values","Total for selected values","37",
"2000","Stanford University","Genetics","First Time Students","Total for selected values","8",
"2000","Stanford University","Genetics","First Time Students","Female","5",
"2000","Stanford University","Genetics","First Time Students","Male","3",
"2000","Stanford University","Genetics","Returning Students","Total for selected values","29",
"2000","Stanford University","Genetics","Returning Students","Female","12",
"2000","Stanford University","Genetics","Returning Students","Male","17",
"2000","Stanford University","Geosciences","Total for selected values","Total for selected values","164",
"2000","Stanford University","Geosciences","First Time Students","Total for selected values","27",
"2000","Stanford University","Geosciences","First Time Students","Female","6",
"2000","Stanford University","Geosciences","First Time Students","Male","21",
"2000","Stanford University","Geosciences","Returning Students","Total for selected values","137",
"2000","Stanford University","Geosciences","Returning Students","Female","51",
"2000","Stanford University","Geosciences","Returning Students","Male","86",
"2000","Stanford University","Industrial and manufacturing engineering","Total for selected values","Total for selected values","256",
"2000","Stanford University","Industrial and manufacturing engineering","First Time Students","Total for selected values","92",
"2000","Stanford University","Industrial and manufacturing engineering","First Time Students","Female","24",
"2000","Stanford University","Industrial and manufacturing engineering","First Time Students","Male","68",
"2000","Stanford University","Industrial and manufacturing engineering","Not collected","Total for selected values","22",
"2000","Stanford University","Industrial and manufacturing engineering","Not collected","Female","8",
"2000","Stanford University","Industrial and manufacturing engineering","Not collected","Male","14",
"2000","Stanford University","Industrial and manufacturing engineering","Returning Students","Total for selected values","142",
"2000","Stanford University","Industrial and manufacturing engineering","Returning Students","Female","30",
"2000","Stanford University","Industrial and manufacturing engineering","Returning Students","Male","112",
"2000","Stanford University","Linguistics","Total for selected values","Total for selected values","41",
"2000","Stanford University","Linguistics","First Time Students","Total for selected values","7",
"2000","Stanford University","Linguistics","First Time Students","Female","3",
"2000","Stanford University","Linguistics","First Time Students","Male","4",
"2000","Stanford University","Linguistics","Returning Students","Total for selected values","34",
"2000","Stanford University","Linguistics","Returning Students","Female","23",
"2000","Stanford University","Linguistics","Returning Students","Male","11",
"2000","Stanford University","Mathematics and applied mathematics","Total for selected values","Total for selected values","109",
"2000","Stanford University","Mathematics and applied mathematics","First Time Students","Total for selected values","31",
"2000","Stanford University","Mathematics and applied mathematics","First Time Students","Female","10",
"2000","Stanford University","Mathematics and applied mathematics","First Time Students","Male","21",
"2000","Stanford University","Mathematics and applied mathematics","Not collected","Total for selected values","4",
"2000","Stanford University","Mathematics and applied mathematics","Not collected","Male","4",
"2000","Stanford University","Mathematics and applied mathematics","Returning Students","Total for selected values","74",
"2000","Stanford University","Mathematics and applied mathematics","Returning Students","Female","11",
"2000","Stanford University","Mathematics and applied mathematics","Returning Students","Male","63",
"2000","Stanford University","Mechanical engineering","Total for selected values","Total for selected values","472",
"2000","Stanford University","Mechanical engineering","First Time Students","Total for selected values","135",
"2000","Stanford University","Mechanical engineering","First Time Students","Female","18",
"2000","Stanford University","Mechanical engineering","First Time Students","Male","117",
"2000","Stanford University","Mechanical engineering","Not collected","Total for selected values","43",
"2000","Stanford University","Mechanical engineering","Not collected","Female","6",
"2000","Stanford University","Mechanical engineering","Not collected","Male","37",
"2000","Stanford University","Mechanical engineering","Returning Students","Total for selected values","294",
"2000","Stanford University","Mechanical engineering","Returning Students","Female","60",
"2000","Stanford University","Mechanical engineering","Returning Students","Male","234",
"2000","Stanford University","Metallurgical and materials engineering","Total for selected values","Total for selected values","59",
"2000","Stanford University","Metallurgical and materials engineering","First Time Students","Total for selected values","15",
"2000","Stanford University","Metallurgical and materials engineering","First Time Students","Female","2",
"2000","Stanford University","Metallurgical and materials engineering","First Time Students","Male","13",
"2000","Stanford University","Metallurgical and materials engineering","Returning Students","Total for selected values","44",
"2000","Stanford University","Metallurgical and materials engineering","Returning Students","Female","14",
"2000","Stanford University","Metallurgical and materials engineering","Returning Students","Male","30",
"2000","Stanford University","Microbiology, immunology, and virology","Total for selected values","Total for selected values","72",
"2000","Stanford University","Microbiology, immunology, and virology","First Time Students","Total for selected values","12",
"2000","Stanford University","Microbiology, immunology, and virology","First Time Students","Female","8",
"2000","Stanford University","Microbiology, immunology, and virology","First Time Students","Male","4",
"2000","Stanford University","Microbiology, immunology, and virology","Returning Students","Total for selected values","60",
"2000","Stanford University","Microbiology, immunology, and virology","Returning Students","Female","25",
"2000","Stanford University","Microbiology, immunology, and virology","Returning Students","Male","35",
"2000","Stanford University","Neurology","Total for selected values","Total for selected values","47",
"2000","Stanford University","Neurology","Returning Students","Total for selected values","47",
"2000","Stanford University","Neurology","Returning Students","Female","20",
"2000","Stanford University","Neurology","Returning Students","Male","27",
"2000","Stanford University","Oncology and cancer research","Total for selected values","Total for selected values","44",
"2000","Stanford University","Oncology and cancer research","First Time Students","Total for selected values","9",
"2000","Stanford University","Oncology and cancer research","First Time Students","Female","6",
"2000","Stanford University","Oncology and cancer research","First Time Students","Male","3",
"2000","Stanford University","Oncology and cancer research","Returning Students","Total for selected values","35",
"2000","Stanford University","Oncology and cancer research","Returning Students","Female","18",
"2000","Stanford University","Oncology and cancer research","Returning Students","Male","17",
"2000","Stanford University","Petroleum engineering","Total for selected values","Total for selected values","51",
"2000","Stanford University","Petroleum engineering","First Time Students","Total for selected values","24",
"2000","Stanford University","Petroleum engineering","First Time Students","Female","7",
"2000","Stanford University","Petroleum engineering","First Time Students","Male","17",
"2000","Stanford University","Petroleum engineering","Returning Students","Total for selected values","27",
"2000","Stanford University","Petroleum engineering","Returning Students","Female","4",
"2000","Stanford University","Petroleum engineering","Returning Students","Male","23",
"2000","Stanford University","Pharmacology and toxicology","Total for selected values","Total for selected values","23",
"2000","Stanford University","Pharmacology and toxicology","First Time Students","Total for selected values","7",
"2000","Stanford University","Pharmacology and toxicology","First Time Students","Female","3",
"2000","Stanford University","Pharmacology and toxicology","First Time Students","Male","4",
"2000","Stanford University","Pharmacology and toxicology","Returning Students","Total for selected values","16",
"2000","Stanford University","Pharmacology and toxicology","Returning Students","Female","5",
"2000","Stanford University","Pharmacology and toxicology","Returning Students","Male","11",
"2000","Stanford University","Physics","Total for selected values","Total for selected values","136",
"2000","Stanford University","Physics","First Time Students","Total for selected values","24",
"2000","Stanford University","Physics","First Time Students","Female","9",
"2000","Stanford University","Physics","First Time Students","Male","15",
"2000","Stanford University","Physics","Returning Students","Total for selected values","112",
"2000","Stanford University","Physics","Returning Students","Female","16",
"2000","Stanford University","Physics","Returning Students","Male","96",
"2000","Stanford University","Physiology","Total for selected values","Total for selected values","11",
"2000","Stanford University","Physiology","Returning Students","Total for selected values","11",
"2000","Stanford University","Physiology","Returning Students","Female","7",
"2000","Stanford University","Physiology","Returning Students","Male","4",
"2000","Stanford University","Political science and government","Total for selected values","Total for selected values","152",
"2000","Stanford University","Political science and government","First Time Students","Total for selected values","65",
